trace_name,prefill_rank,request_id,input_tokens,output_tokens
sharegpt_x_rate1p5,0,0,2,77
sharegpt_x_rate1p5,0,1,6,120
sharegpt_x_rate1p5,0,2,155,1123
sharegpt_x_rate1p5,0,3,65,1397
sharegpt_x_rate1p5,0,4,8,16
sharegpt_x_rate1p5,0,5,3,59
sharegpt_x_rate1p5,0,6,2,68
sharegpt_x_rate1p5,0,7,42,461
sharegpt_x_rate1p5,0,8,5,41
sharegpt_x_rate1p5,0,9,3,281
sharegpt_x_rate1p5,0,10,4,282
sharegpt_x_rate1p5,0,11,51,504
sharegpt_x_rate1p5,0,12,13,57
sharegpt_x_rate1p5,0,13,3277,29
sharegpt_x_rate1p5,0,14,1,31
sharegpt_x_rate1p5,0,15,18,115
sharegpt_x_rate1p5,0,16,1661,1344
sharegpt_x_rate1p5,0,17,4,97
sharegpt_x_rate1p5,0,18,47,920
sharegpt_x_rate1p5,0,19,38,166
sharegpt_x_rate1p5,0,20,2,176
sharegpt_x_rate1p5,0,21,18,305
sharegpt_x_rate1p5,0,22,8,112
sharegpt_x_rate1p5,0,23,5,49
sharegpt_x_rate1p5,0,24,6,16
sharegpt_x_rate1p5,0,25,34,342
sharegpt_x_rate1p5,0,26,5,52
sharegpt_x_rate1p5,0,27,43,986
sharegpt_x_rate1p5,0,28,3,33
sharegpt_x_rate1p5,0,29,40,63
sharegpt_x_rate1p5,0,30,1,45
sharegpt_x_rate1p5,0,31,14,51
sharegpt_x_rate1p5,0,32,5,30
sharegpt_x_rate1p5,0,33,5,100
sharegpt_x_rate1p5,0,34,15,561
sharegpt_x_rate1p5,0,35,20,482
sharegpt_x_rate1p5,0,36,8,186
sharegpt_x_rate1p5,0,37,2,94
sharegpt_x_rate1p5,0,38,5,111
sharegpt_x_rate1p5,0,39,20,918
sharegpt_x_rate1p5,0,40,2,115
sharegpt_x_rate1p5,0,41,5,44
sharegpt_x_rate1p5,0,42,18,406
sharegpt_x_rate1p5,0,43,5,30
sharegpt_x_rate1p5,0,44,4,106
sharegpt_x_rate1p5,0,45,1,64
sharegpt_x_rate1p5,0,46,3,56
sharegpt_x_rate1p5,0,47,2,79
sharegpt_x_rate1p5,0,48,2,106
sharegpt_x_rate1p5,0,49,10,35
sharegpt_x_rate1p5,0,50,2,56
sharegpt_x_rate1p5,0,51,6,124
sharegpt_x_rate1p5,0,52,1,79
sharegpt_x_rate1p5,0,53,9,101
sharegpt_x_rate1p5,0,54,1,71
sharegpt_x_rate1p5,0,55,2,74
sharegpt_x_rate1p5,0,56,3,38
sharegpt_x_rate1p5,0,57,10,167
sharegpt_x_rate1p5,0,58,23,492
sharegpt_x_rate1p5,0,59,9,44
sharegpt_x_rate1p5,0,60,3,13
sharegpt_x_rate1p5,0,61,2,72
sharegpt_x_rate1p5,0,62,1,43
sharegpt_x_rate1p5,0,63,176,139
sharegpt_x_rate1p5,0,64,10,152
sharegpt_x_rate1p5,0,65,58,1573
sharegpt_x_rate1p5,0,66,5,94
sharegpt_x_rate1p5,0,67,11,71
sharegpt_x_rate1p5,0,68,7,137
sharegpt_x_rate1p5,0,69,5,80
sharegpt_x_rate1p5,0,70,6,87
sharegpt_x_rate1p5,0,71,1,6
sharegpt_x_rate1p5,0,72,6,149
sharegpt_x_rate1p5,0,73,58,202
sharegpt_x_rate1p5,0,74,3,49
sharegpt_x_rate1p5,0,75,25,451
sharegpt_x_rate1p5,0,76,2,106
sharegpt_x_rate1p5,0,77,4,52
sharegpt_x_rate1p5,0,78,86,470
sharegpt_x_rate1p5,0,79,7,78
sharegpt_x_rate1p5,0,80,6,37
sharegpt_x_rate1p5,0,81,6,92
sharegpt_x_rate1p5,0,82,17,338
sharegpt_x_rate1p5,0,83,42,697
sharegpt_x_rate1p5,0,84,4,77
sharegpt_x_rate1p5,0,85,2,66
sharegpt_x_rate1p5,0,86,6,246
sharegpt_x_rate1p5,0,87,308,213
sharegpt_x_rate1p5,0,88,4,193
sharegpt_x_rate1p5,0,89,8,302
sharegpt_x_rate1p5,0,90,238,3277
sharegpt_x_rate1p5,0,91,2,34
sharegpt_x_rate1p5,0,92,4,73
sharegpt_x_rate1p5,0,93,6,123
sharegpt_x_rate1p5,0,94,4,127
sharegpt_x_rate1p5,0,95,17,300
sharegpt_x_rate1p5,0,96,2,62
sharegpt_x_rate1p5,0,97,1,8
sharegpt_x_rate1p5,0,98,2,35
sharegpt_x_rate1p5,0,99,2,54
sharegpt_x_rate1p5,0,100,2,13
sharegpt_x_rate1p5,0,101,2,56
sharegpt_x_rate1p5,0,102,7,121
sharegpt_x_rate1p5,0,103,19,533
sharegpt_x_rate1p5,0,104,15,43
sharegpt_x_rate1p5,0,105,8,132
sharegpt_x_rate1p5,0,106,1,7
sharegpt_x_rate1p5,0,107,11,672
sharegpt_x_rate1p5,0,108,17,628
sharegpt_x_rate1p5,0,109,8,38
sharegpt_x_rate1p5,0,110,39,276
sharegpt_x_rate1p5,0,111,1,39
sharegpt_x_rate1p5,0,112,327,459
sharegpt_x_rate1p5,0,113,32,77
sharegpt_x_rate1p5,0,114,1,60
sharegpt_x_rate1p5,0,115,21,701
sharegpt_x_rate1p5,0,116,7,92
sharegpt_x_rate1p5,0,117,134,2329
sharegpt_x_rate1p5,0,118,8,246
sharegpt_x_rate1p5,0,119,5,108
sharegpt_x_rate1p5,0,120,10,1188
