arrive_time,input_tokens_length,output_tokens_length
0.085872,6,161
0.342490,56,1200
1.024406,2,237
1.350768,8,255
1.813255,2,30
2.031683,2,10
2.811805,5,27
2.869001,2,137
3.455176,3,57
3.551006,2,151
3.692100,3,171
4.769546,6,173
5.025473,4,186
5.310592,7,148
5.820334,3,282
6.400970,3,40
6.900598,12,194
7.296675,23,505
7.300477,6,325
7.383087,9,295
7.540585,10,954
8.443562,2,36
9.712642,45,465
10.037312,8,126
10.267363,2,30
11.873565,19,543
12.225820,6,35
12.842539,8,22
13.253676,16,22
13.480655,11,3277
13.762640,4,27
14.279505,4,65
15.454422,22,643
15.739353,23,257
15.999927,1,49
16.027491,4,65
16.091861,7,196
16.096423,77,796
16.163893,2,11
16.908265,1,28
17.561831,1,74
18.307017,29,370
18.321705,5,146
18.866666,10,43
19.023493,1029,3277
19.340399,40,1086
20.417926,4,18
20.824235,7,27
20.886517,18,101
21.131605,11,13
22.684275,7,52
23.825894,138,139
24.601332,2,19
24.668604,2,26
24.751433,19,212
24.801898,14,434
24.872304,3,67
24.878301,26,128
25.798282,38,297
26.394177,7,195
27.170040,6,101
27.503713,9,75
27.505442,9,30
27.814696,6,13
27.846594,68,96
28.809274,2,53
28.825094,3,142
29.013574,13,106
29.918151,10,269
30.681730,3,16
31.540731,26,133
32.040223,15,172
32.150325,14,1162
32.911587,3,547
33.897260,1,56
34.896422,88,1315
35.704813,134,2963
36.239897,15,121
37.378862,5,22
38.171601,12,447
38.206661,7,74
38.380677,4,24
38.592343,35,138
39.587481,478,108
39.998582,16,216
40.025524,2,137
40.080928,22,392
40.267469,12,244
40.390994,2,70
40.479265,23,262
40.637037,11,81
41.176905,15,78
41.789869,46,545
43.086822,5,322
43.487107,20,70
43.685812,1,15
43.952043,7,151
43.973677,221,397
44.168267,3,112
44.276994,13,25
44.342175,4,45
44.578441,66,1597
44.648538,11,818
44.683365,12,144
45.155143,6,378
45.874968,100,23
46.164229,2,37
46.166485,6,133
46.394063,4,67
46.419147,2,31
46.959866,6,319
47.947896,3,65
48.364233,4,18
48.491945,19,400
49.777414,6,686
50.308892,18,561
50.347148,1,61
50.452880,2,40
51.086487,5,57
51.195673,14,64
51.538196,2,120
51.768725,35,639
51.936935,5,85
51.998372,88,378
52.580153,3,119
53.054937,2,262
54.067249,3,90
54.202240,10,120
54.225058,5,220
55.366433,927,1018
55.823523,55,445
55.825507,2,83
58.029721,13,128
59.073684,9,181
59.285369,13,84
59.737144,8,156
59.894480,1,19
60.029005,45,613
60.296230,3,162
60.466052,4,148
60.653933,11,661
60.691364,2,74
63.119361,2,90
63.610819,8,336
63.667336,55,7
63.737756,3,99
64.395573,20,86
68.581195,10,537
68.915609,8,131
69.026615,3,133
71.288940,3,98
71.794054,4,62
71.940345,4,70
72.319837,19,303
72.674756,96,838
73.294023,13,480
73.767209,18,177
75.132915,2,69
75.950792,36,177
76.172587,5,76
77.447084,7,63
77.608522,28,418
77.868669,1,3
77.893559,19,1053
78.559016,3,72
78.995139,19,186
79.671640,2,72
81.339673,2,63
81.588864,42,299
82.298178,59,3277
82.837954,150,910
83.957851,1,24
85.416146,8,96
86.493042,47,865
86.822824,135,810
86.933316,1,39
86.992249,6,133
87.153837,3,116
87.412218,2,120
88.784020,3,81
89.012566,11,40
89.025795,6,113
89.239711,2,8
89.477424,66,2163
89.618776,3,36
90.015693,13,404
90.280635,13,638
90.317529,8,88
90.644511,4,114
91.380670,10,257
91.921808,298,363
91.959706,3,414
93.245030,36,308
93.656307,309,1009
93.987992,1,11
94.116479,2,50
95.011858,1,87
95.624943,2,71
95.642056,14,91
95.695295,3,247
95.721382,20,104
96.114867,1,120
99.098906,8,102
100.386415,17,118
100.827296,8,8
102.718454,23,171
103.007003,2,88
103.175123,122,935
103.518265,17,278
103.657304,2,74
103.834485,12,99
104.209184,3,35
104.708805,7,69
105.597486,14,49
105.881711,12,103
106.539580,4,15
106.558556,6,165
106.684753,1,71
106.779261,9,211
107.238128,2,84
107.304327,13,180
109.526700,32,268
109.930334,7,123
110.894877,16,337
110.935757,10,220
111.423168,30,27
112.162635,1,20
112.614490,139,160
112.993423,7,310
113.640465,3,84
115.181013,35,96
115.649216,6,59
116.599168,11,100
116.822773,6,391
117.104561,2,26
117.576935,2,38
117.667378,4,103
117.756345,11,123
121.220764,15,160
122.372855,2,71
123.799358,196,41
124.792933,289,2448
125.608856,102,341
126.828714,5,139
127.347513,9,206
127.549351,2,85
128.594479,2,21
129.139701,2,54
129.270139,2,1
130.993119,7,147
131.693908,6,45
131.858748,41,1652
132.228873,2,13
132.743061,7,64
133.055013,3,13
133.948436,6,340
134.408723,7,41
134.654831,11,192
135.207495,2,104
136.307482,6,114
136.349706,2,61
136.459722,52,119
137.087193,17,222
137.917723,7,131
138.157453,5,228
138.288624,317,148
140.704600,4,25
140.919884,8,462
141.003729,19,240
141.544143,4,156
142.038020,7,68
142.112423,28,449
142.596669,4,97
142.620441,13,406
143.116129,2,75
143.282914,52,104
143.502422,24,716
143.696327,4,162
144.076048,94,274
144.818650,5,138
145.256278,22,155
145.403264,2,77
145.483743,6,71
146.263937,3,134
146.532515,15,584
146.991884,43,43
147.232670,37,74
147.370975,2,19
147.463219,97,492
147.588419,9,145
147.619127,6,143
148.726175,4,69
148.812986,4,77
149.180755,6,59
149.386131,60,468
150.146311,40,341
150.787655,2,51
150.789610,21,235
